identity	ext	path	npages	ours_rules	ref_rules	ours_pt	ref_pt	pages_ours_excess	worst_page	worst_excess
FG-AI4NDM-TR-skeleton_template__docx	docx	words/done-010/docx/FG-AI4NDM-TR-skeleton_template.docx	5	27	11	3724	2473	1	3	1252
015_Project_Timeline_Template_Colored_Background_6434b0e8__docx	docx	words/chartset-011/docx/015_Project_Timeline_Template_Colored_Background_6434b0e8.docx	2	48	51	10625	12239	0	0	0
Technical Report and Technical Update Guidelines__docx	docx	words/done-005/docx/Technical Report and Technical Update Guidelines.docx	4	8	8	1454	1454	0	3	0
te.iors.00048-002 SUP Questionnaire__docx	docx	words/done-010/docx/te.iors.00048-002 SUP Questionnaire.docx	4	62	62	33014	33014	0	0	0
039_Venn_Diagram_Template_Simple_Format_6f82661d__docx	docx	words/chartset-011/docx/039_Venn_Diagram_Template_Simple_Format_6f82661d.docx	1	0	3	0	978	0	0	0
part-147_approval list_20230119__docx	docx	words/done-005/docx/part-147_approval list_20230119.docx	2	81	80	21020	21014	1	1	78
Company-profile-2022-EN__docx	docx	words/done-011/docx/Company-profile-2022-EN.docx	5	0	0	0	0	0	0	0
061_Nursing_Concept_Map_Template_fb9816f0__docx	docx	words/chartset-011/docx/061_Nursing_Concept_Map_Template_fb9816f0.docx	1	18	18	2995	2995	0	0	0
LHD-230-application-for-the-approval-of-an-aircraftr__doc	doc	words/done-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	2	13	14	5250	5395	0	2	0
f2_registro_de_aprovacao_com_pbcs_EN__docx	docx	words/done-011/docx/f2_registro_de_aprovacao_com_pbcs_EN.docx	2	191	38	6306	2700	2	1	3254
068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8__docx	docx	words/chartset-011/docx/068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8.docx	1	1	118	646	12776	0	0	0
62599_FRANCE-BRAZIL- Air France Flight 447 crash__docx	docx	words/done-006/docx/62599_FRANCE-BRAZIL- Air France Flight 447 crash.docx	18	8	8	2640	2640	0	5	0
part-145-approval list 2025__docx	docx	words/done-011/docx/part-145-approval list 2025.docx	7	149	143	46569	46595	2	7	935
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx	docx	words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	1	0	3	0	1189	0	0	0
healthcare-reform-nsa-provider-bulletin__docx	docx	words/done-006/docx/healthcare-reform-nsa-provider-bulletin.docx	5	38	20	4690	4710	0	2	0
RMI_Document_Repository_Public-Reprts_GettingOffOil__doc	doc	words/done-012/doc/RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	6	14	12	2159	2518	3	4	144
chapter 12__doc	doc	words/done-007/doc/chapter 12.doc	12	0	1	0	288	0	0	0
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0__docx	docx	words/chartset-012/docx/044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0.docx	1	6	9	3979	4258	0	0	0
0c662f5c948a7d81d32ffd833c5cc59421a5f522__docx	docx	words/done-007/docx/0c662f5c948a7d81d32ffd833c5cc59421a5f522.docx	1	0	0	0	0	0	0	0
095_Business_Case_Template_Easy_Format_61de7128__docx	docx	words/chartset-012/docx/095_Business_Case_Template_Easy_Format_61de7128.docx	1	15	23	5222	5209	0	1	13
FO.FCTOA_.000129 Application for activities related to FSTD__docx	docx	words/done-012/docx/FO.FCTOA_.000129 Application for activities related to FSTD.docx	6	162	206	61658	63117	2	1	778
johnson_hall_service_log.pdf__docx	docx	words/done-007/docx/johnson_hall_service_log.pdf.docx	1	11	15	3338	3591	0	0	0
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e__docx	docx	words/chartset-013/docx/047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e.docx	1	15	15	6173	6172	0	1	1
1245685 1 Comment__doc	doc	words/done-008/doc/1245685 1 Comment.doc	1	0	0	0	0	0	0	0
bulletin__docx	docx	words/done-012/docx/bulletin.docx	14	165	148	27414	25086	3	7	2501
060_Human_Body_Concept_Map_Template_ac872cfb__docx	docx	words/chartset-013/docx/060_Human_Body_Concept_Map_Template_ac872cfb.docx	1	0	3	0	1686	0	0	0
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024__doc	doc	words/done-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	6	12	13	4926	5286	0	3	0
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759__doc	doc	words/done-013/doc/1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	12	0	4	0	1601	0	0	0
073_Storyboard_Template_Easy_to_Use_44ce05fc__docx	docx	words/chartset-013/docx/073_Storyboard_Template_Easy_to_Use_44ce05fc.docx	1	28	26	6907	6158	1	1	749
FAA-2017-0628-0002_attachment_1__docx	docx	words/done-008/docx/FAA-2017-0628-0002_attachment_1.docx	4	2	2	1138	1138	0	0	0
omrIMInterpretiveGuideLine__doc	doc	words/done-013/doc/omrIMInterpretiveGuideLine.doc	2	0	22	0	4221	0	0	0
011_Project_Timeline_Template_Beautiful_Theme_2336e680__docx	docx	words/chartset-014/docx/011_Project_Timeline_Template_Beautiful_Theme_2336e680.docx	1	2	2	236	236	0	0	0
draft-variation-notice-airbus-bm3965ia-v006-vs-comments__docx	docx	words/done-008/docx/draft-variation-notice-airbus-bm3965ia-v006-vs-comments.docx	9	94	95	42528	42682	0	3	16
062_Vocabulary_Concept_Map_Template_2f7c1c09__docx	docx	words/chartset-014/docx/062_Vocabulary_Concept_Map_Template_2f7c1c09.docx	1	1	1	226	226	0	0	0
Sol PJ14-03-04 Solution Contextual__docx	docx	words/done-013/docx/Sol PJ14-03-04 Solution Contextual.docx	5	24	68	11100	29397	0	0	0
A380MaenPressRel__doc	doc	words/done-009/doc/A380MaenPressRel.doc	3	0	0	0	0	0	0	0
071_Storyboard_Template_Cartoon_Theme_ae113de2__docx	docx	words/chartset-014/docx/071_Storyboard_Template_Cartoon_Theme_ae113de2.docx	1	0	0	0	0	0	0	0
hdss-bulletin-issue-285-25-june-2025__docx	docx	words/done-013/docx/hdss-bulletin-issue-285-25-june-2025.docx	10	99	62	26119	19800	2	1	5311
Case-Study-Heathrow-Airport__docx	docx	words/done-009/docx/Case-Study-Heathrow-Airport.docx	3	29	26	14895	13313	3	2	527
079_Storyboard_Template_Simple_Format_81653703__docx	docx	words/chartset-014/docx/079_Storyboard_Template_Simple_Format_81653703.docx	1	1	1	583	583	0	0	0
PK_FlugzeugeStricken__doc	doc	words/done-014/doc/PK_FlugzeugeStricken.doc	7	13	25	4292	6228	1	2	122
form_1123_application_form_rvsm_spa__docx	docx	words/done-009/docx/form_1123_application_form_rvsm_spa.docx	3	59	63	28949	30935	0	0	0
LENTOBUSSIAIKATAULU.-31.10.-31.12.2022__doc	doc	words/done-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	1	4	4	636	636	0	1	0
CMTA_Airport_Transportation__docx	docx	words/done-001/docx/CMTA_Airport_Transportation.docx	1	1	1	163	163	0	1	0
231164_SystemDesignDocument__docx	docx	words/done-014/docx/231164_SystemDesignDocument.docx	28	387	196	53197	79225	2	2	4916
361400CSLegislation1RF01PUBLIC1__doc	doc	words/done-010/doc/361400CSLegislation1RF01PUBLIC1.doc	35	149	40	11384	5306	10	2	4779
Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION__docx	docx	words/done-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	1	0	1	0	461	0	0	0
FMRBullletinB-28__doc	doc	words/done-002/doc/FMRBullletinB-28.doc	2	9	9	1880	1886	0	0	0
exhibit-06---technical-architecture-template__docx	docx	words/done-014/docx/exhibit-06---technical-architecture-template.docx	8	136	25	8739	8865	1	4	738
5709.16 ch.40_mgfinal__docx	docx	words/done-010/docx/5709.16 ch.40_mgfinal.docx	32	212	107	59960	43244	2	2	8818
CSCRS_Technical-Report-Documentation-Page-with-instructions__docx	docx	words/done-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	2	14	14	6459	6460	0	0	0
SFSP_2013-02_Bulletin__doc	doc	words/done-015/doc/SFSP_2013-02_Bulletin.doc	4	26	34	6873	8789	0	0	0
PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th__docx	docx	words/done-010/docx/PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th.docx	5	1	2	451	902	0	0	0
easa-form-1__docx	docx	words/done-002/docx/easa-form-1.docx	5	19	18	13936	13207	1	4	729
10795__doc	doc	words/done-003/doc/10795.doc	4	30	31	14124	14600	0	1	2
DOA_Template_Form_Type_Certification_Programme__docx	docx	words/done-015/docx/DOA_Template_Form_Type_Certification_Programme.docx	20	311	326	92976	109353	5	3	4592
135__doc	doc	words/done-011/doc/135.doc	14	124	127	23686	23610	1	8	593
II.1.2_Hypoxia__doc	doc	words/done-003/doc/II.1.2_Hypoxia.doc	13	10	10	562	562	0	5	0
b053-19__docx	docx	words/done-011/docx/b053-19.docx	2	4	4	645	645	0	1	0
2015-April-SWIM_Users_Forum-Q&A__docx	docx	words/done-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx	5	51	45	21308	18412	5	2	962
Sample_SQMS_Program__docx	docx	words/done-015/docx/Sample_SQMS_Program.docx	61	365	281	132789	114138	12	3	4616
monthly-content-feeder__docx	docx	words/done-011/docx/monthly-content-feeder.docx	18	272	253	52880	55254	0	16	3
mde087077~283__docx	docx	words/done-003/docx/mde087077~283.docx	4	52	43	20306	17787	4	2	1007
RobertQ_Service__doc	doc	words/done-004/doc/RobertQ_Service.doc	4	36	65	12065	14354	0	0	0
tibs_guidelines_2__docx	docx	words/done-011/docx/tibs_guidelines_2.docx	13	75	83	18590	30894	1	2	2500
461249__docx	docx	words/done-004/docx/461249.docx	5	28	29	7962	8509	0	3	2
120509coss__doc	doc	words/done-016/doc/120509coss.doc	25	2	52	311	21883	0	0	0
19-06 Assistive Technology TAB Final - 508__docx	docx	words/done-012/docx/19-06 Assistive Technology TAB Final - 508.docx	8	4	12	1434	4398	0	0	0
PAT-047 - Architecture and Detailed Design Assessment__docx	docx	words/done-004/docx/PAT-047 - Architecture and Detailed Design Assessment.docx	4	106	294	70777	69202	4	3	726
Allegiant_Company_Profile_with_History__docx	docx	words/done-016/docx/Allegiant_Company_Profile_with_History.docx	3	2	2	205	205	0	3	0
Leadership Information Article__docx	docx	words/done-012/docx/Leadership Information Article.docx	3	4	2	385	384	0	1	0
316r_a_f__doc	doc	words/done-005/doc/316r_a_f.doc	14	5	4	1730	1586	1	2	144
slcc-architecture-uu-architecture__docx	docx	words/done-012/docx/slcc-architecture-uu-architecture.docx	4	55	53	29662	28583	1	3	1078
PES-Technical-Report-Template_Jan_2019__docx	docx	words/done-016/docx/PES-Technical-Report-Template_Jan_2019.docx	14	55	15	5542	5356	3	5	1867
2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai__docx	docx	words/done-005/docx/2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai.docx	3	2	2	264	264	0	1	0
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080__doc	doc	words/done-013/doc/1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	9	0	7	0	2948	0	0	0
f445896eb008d14c1746fc37d412dc22__docx	docx	words/done-005/docx/f445896eb008d14c1746fc37d412dc22.docx	15	74	58	33033	25828	10	14	901
dragon1-enterprise-architecture-document-example-v0.1d__docx	docx	words/done-016/docx/dragon1-enterprise-architecture-document-example-v0.1d.docx	13	45	15	10927	6252	3	4	4889
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11__docx	docx	words/done-013/docx/Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11.docx	3	68	70	34092	35110	0	2	3
003__doc	doc	words/done-006/doc/003.doc	5	1	3	308	490	0	0	0
762__doc	doc	words/extra-001/doc/762.doc	23	38	80	16504	19317	1	21	62
easa-regulations-update-20__docx	docx	words/done-013/docx/easa-regulations-update-20.docx	22	41	59	12886	20417	0	2	0
P200904290238_0238_51880__doc	doc	words/done-006/doc/P200904290238_0238_51880.doc	3	58	55	20147	19051	2	3	924
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie__doc	doc	words/done-014/doc/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	1	1	9	235	1235	0	0	0
SDL_FSDO_Part91_LOA_Checklist__docx	docx	words/done-006/docx/SDL_FSDO_Part91_LOA_Checklist.docx	2	35	34	17481	16962	1	2	518
technical-memo-format__docx	docx	words/done-006/docx/technical-memo-format.docx	5	0	0	0	0	0	0	0
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16__docx	docx	words/extra-001/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	12	161	159	53599	58511	2	11	4508
1603642410-MoM-CASCOM-06-2020-draft04__docx	docx	words/done-014/docx/1603642410-MoM-CASCOM-06-2020-draft04.docx	9	97	87	26998	26509	2	2	504
congregationalhistories_ky_2023__doc	doc	words/done-007/doc/congregationalhistories_ky_2023.doc	1	0	0	0	0	0	0	0
AFS-050-004-F2_0i__docx	docx	words/done-014/docx/AFS-050-004-F2_0i.docx	8	104	102	54968	53764	2	5	3809
Press release_EUREKA labels ITEA 3 Cluster__docx	docx	words/done-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	2	2	2	202	202	0	2	0
A320SimNotes__doc	doc	words/metrics-001/doc/A320SimNotes.doc	42	339	332	115068	112483	7	39	657
technical-report-template__docx	docx	words/done-007/docx/technical-report-template.docx	7	21	22	5566	5622	0	2	5
fleetfastfacts16nov2023__docx	docx	words/done-014/docx/fleetfastfacts16nov2023.docx	1	21	21	10282	10282	0	1	0
2024-2nd-quarter-case-summaries__doc	doc	words/done-008/doc/2024-2nd-quarter-case-summaries.doc	10	7	7	2165	2177	0	1	0
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx	docx	words/metrics-001/docx/AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024.docx	15	233	231	109682	108642	3	8	516
03_Technical_Report_(progress)_template__docx	docx	words/done-015/docx/03_Technical_Report_(progress)_template.docx	10	117	106	63732	61582	1	3	2639
4400-91_Proposal_To_Lease_Space_10-2024__docx	docx	words/done-008/docx/4400-91_Proposal_To_Lease_Space_10-2024.docx	6	58	54	30013	27909	3	2	1052
JEMIT_Template__docx	docx	words/done-015/docx/JEMIT_Template.docx	4	21	22	9470	9622	0	4	18
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5__docx	docx	words/done-008/docx/Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5.docx	3	4	3	1713	1569	1	2	144
2013-op12-Annex III - Curriculum Vitae__doc	doc	words/done-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	3	0	1	0	28	0	0	0
airbus-pdf-information-package_v1-4__docx	docx	words/done-015/docx/airbus-pdf-information-package_v1-4.docx	9	115	109	66746	66320	3	7	2090
CP-ETSO template_v2020__doc	doc	words/done-009/doc/CP-ETSO template_v2020.DOC	6	54	54	19509	19505	1	4	1883
Contract_Check_Pilot_Sample_LOA__docx	docx	words/done-009/docx/Contract_Check_Pilot_Sample_LOA.docx	4	4	10	95	166	0	2	0
technical report template__docx	docx	words/done-009/docx/technical report template.docx	10	19	0	1351	0	1	3	1351
150_5335_5a__doc	doc	words/done-016/doc/150_5335_5a.doc	64	418	277	90741	65558	7	5	10396
f111__doc	doc	words/done-010/doc/f111.doc	11	74	130	17103	17693	0	8	49
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx	docx	words/done-010/docx/Checklist for TC STC ETSO data packages to FAA_TIP rev 5.docx	3	19	23	6118	6353	0	0	0
May 25 bulletin focus on carers in the workplace__docx	docx	words/missing-001/docx/May 25 bulletin focus on carers in the workplace.docx	4	16	12	3053	1181	4	3	567
Writing a technical report (SCE subject guide)__docx	docx	words/done-010/docx/Writing a technical report (SCE subject guide).docx	4	3	2	147	147	0	4	0
1447__doc	doc	words/pagination-001/doc/1447.doc	4	0	0	0	0	0	0	0
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX__doc	doc	words/done-011/doc/AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.doc	20	100	117	46585	47534	1	1	767
eTAR_External_Web_tool_Tip_Sheet_mh__docx	docx	words/done-011/docx/eTAR_External_Web_tool_Tip_Sheet_mh.docx	4	5	8	435	632	0	2	0
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx	docx	words/pagination-001/docx/ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx	35	394	292	119894	124682	3	5	4916
part-145-approval list (1)__docx	docx	words/done-011/docx/part-145-approval list (1).docx	8	171	158	53517	49819	5	8	1599
Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA__docx	docx	words/done-016/docx/Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA.docx	148	0	0	0	0	0	0	0
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx	docx	words/pagination-001/docx/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.docx	16	312	309	143095	141791	2	1	1167
AirbusCallouts__doc	doc	words/done-012/doc/AirbusCallouts.doc	24	499	489	222440	214599	19	19	1892
20110608_psp__docx	docx	words/done-012/docx/20110608_psp.docx	3	9	9	1674	1674	0	3	0
b050-19__docx	docx	words/done-012/docx/b050-19.docx	3	13	13	1638	1637	0	2	0
SPA-06_mcar_part-6_and_IS_v2.9__docx	docx	words/done-016/docx/SPA-06_mcar_part-6_and_IS_v2.9.docx	85	517	565	193232	254505	5	12	9147
technical-architecture__docx	docx	words/done-012/docx/technical-architecture.docx	8	48	14	9216	5640	1	4	4481
Reid__doc	doc	words/done-013/doc/Reid.doc	4	9	10	1015	1116	0	4	0
t_TEMPforInvProgs__docx	docx	words/done-016/docx/t_TEMPforInvProgs.docx	26	267	262	63270	84333	2	9	1864
150_5300_13_chg12__doc	doc	words/pagination-002/doc/150_5300_13_chg12.doc	31	301	145	64437	59102	2	25	9453
SPA-11_mcar_part-11_v2.9__docx	docx	words/done-013/docx/SPA-11_mcar_part-11_v2.9.docx	49	385	329	114152	145221	3	9	8955
gpp-pr-top-7-office-markets-4q-2023__docx	docx	words/done-013/docx/gpp-pr-top-7-office-markets-4q-2023.docx	4	41	39	14619	13690	2	3	465
644730BRI0mna000BOX361539B00public0__doc	doc	words/done-014/doc/644730BRI0mna000BOX361539B00public0.doc	5	7	9	894	1469	1	3	144
1_tpr_template__from_fy14___docx	docx	words/done-014/docx/1_tpr_template__from_fy14_.docx	8	61	59	16324	16035	2	4	144
info-bulletin-601__doc	doc	words/extra-001/doc/info-bulletin-601.doc	6	28	29	12904	13485	0	5	0
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission__docx	docx	words/done-014/docx/Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.docx	18	48	44	9049	8113	4	3	495
2013_11__doc	doc	words/done-015/doc/2013_11.doc	8	114	116	49258	50294	0	8	0
Agile_Arc_SysDes__docx	docx	words/done-015/docx/Agile_Arc_SysDes.docx	20	148	129	47671	59343	2	3	3656
手机免提系统TSB__doc	doc	words/metrics-001/doc/手机免提系统TSB.doc	3	2	2	948	948	0	0	0
PI-doc.-no.-2E-Technical-Review-Report__docx	docx	words/done-015/docx/PI-doc.-no.-2E-Technical-Review-Report.docx	12	74	97	31818	38190	1	4	437
system_design__technical_architecture_template__docx	docx	words/done-015/docx/system_design__technical_architecture_template.docx	17	216	240	68655	113987	2	2	2896
FRE-03_mcar_part-3_and_IS_v2.9__docx	docx	words/metrics-001/docx/FRE-03_mcar_part-3_and_IS_v2.9.docx	76	516	501	182397	232152	5	14	9565
review-welsh-government-communications-mister-peter-mandelson__docx	docx	words/metrics-001/docx/review-welsh-government-communications-mister-peter-mandelson.docx	14	121	88	44682	41879	8	8	613
150-5370-10H__docx	docx	words/pagination-003/docx/150-5370-10H.docx	727	4103	5985	989194	1557354	9	7	8943
xx_SETIS_PWS_template_10.19.22__docx	docx	words/missing-001/docx/xx_SETIS_PWS_template_10.19.22.docx	15	194	178	40917	40425	2	7	1021
A1. EASA Form 2__docx	docx	words/table-001/docx/A1. EASA Form 2.docx	7	290	291	92299	88276	5	7	3365
A_320__doc	doc	words/pagination-001/doc/A_320.doc	118	653	738	259685	266902	0	3	1
ESPN-R - MCF - RA - Ed1__docx	docx	words/pagination-001/docx/ESPN-R - MCF - RA - Ed1.docx	58	844	858	322903	348992	4	8	3168
report-template__docx	docx	words/pagination-001/docx/report-template.docx	20	92	60	19214	15492	5	3	1685
AC-150-5370-10G-updated-201604__docx	docx	words/done-016/docx/AC-150-5370-10G-updated-201604.docx	696	3701	4805	832797	1385442	5	6	7620
HC-Bulletin-template__docx	docx	words/done-016/docx/HC-Bulletin-template.docx	5	11	17	2764	4781	0	1	1
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	docx	words/done-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	15	243	244	159732	162995	2	1	1163
EHEST-SMS-Safety-Management-Manual-V2__docx	docx	words/pagination-003/docx/EHEST-SMS-Safety-Management-Manual-V2.docx	82	521	466	180152	173702	24	5	5722
WordArt_Shapes_Arrows_Catalog1__docx	docx	words/drawingset-001/docx/WordArt_Shapes_Arrows_Catalog1.docx	52	816	806	25090	24091	6	35	309
B11. TE.CAO.00129  Experience  logbook__docx	docx	words/table-001/docx/B11. TE.CAO.00129  Experience  logbook.docx	6	93	77	51967	47734	3	5	2738
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	docx	words/extra-001/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	29	525	625	203165	219760	1	3	2413
UG.CAO.00133 Foreign Part 145 approvals - Language__docx	docx	words/extra-001/docx/UG.CAO.00133 Foreign Part 145 approvals - Language.docx	18	176	120	86983	79781	4	4	4103
33004__docx	docx	words/missing-001/docx/33004.docx	47	375	417	156041	190143	2	2	8272
24-25_FAA_Holdover_Tables__docx	docx	words/pagination-001/docx/24-25_FAA_Holdover_Tables.docx	155	1613	2267	848901	1265718	14	75	10973
FAA 2025-26 Holdover Tables__docx	docx	words/pagination-001/docx/FAA 2025-26 Holdover Tables.docx	167	1812	2511	922548	1371113	15	84	15020
template---tpr-technical-progress-report-with-guidance__docx	docx	words/pagination-001/docx/template---tpr-technical-progress-report-with-guidance.docx	7	62	60	14660	14373	2	2	144
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx	docx	words/pagination-002/docx/docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	44	308	504	79390	98927	1	35	304
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx	docx	words/table-001/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	6	97	79	55305	49118	3	5	3757
